"시료명","K1600 K16L5001CCR Platforming Process Unit Feed"
"수집 일시","2018-08-22 오전 5:53:10"

,"mass %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
   46,"1,1-methylethylcyclopentane",51.229,790.183,0.692,87079.49,0.736,"Naphtenes",8
   47,"2,2,4-trimethylhexane",51.792,792.512,0.050,5839.79,0.050,"i-Paraffins",9
   48,"1t,2-dimethylcyclohexane",52.472,795.290,1.024,127943.86,1.081,"Naphtenes",8
   49,"n-octane",53.646,799.999,7.559,839758.25,7.226,"n-Paraffins",8
   50,"? 1",53.816,801.298,0.172,19112.26,0.164,"n-Paraffins",0
   51,"1c,4-dimethylcyclohexane",54.042,803.026,0.531,66884.26,0.565,"Naphtenes",8
   52,"i-propylcyclopentane",55.379,813.066,0.151,18830.80,0.159,"Naphtenes",8
   53,"? 2",56.539,821.584,0.056,7041.55,0.060,"n-Paraffins",0
   54,"N1",56.816,823.590,0.060,7572.20,0.064,"Naphtenes",8
   55,"? 3",57.276,826.904,0.084,10595.19,0.090,"n-Paraffins",0
   56,"N2",57.406,827.836,0.103,12956.78,0.109,"Naphtenes",8
   57,"N3",58.096,832.745,0.296,37209.78,0.314,"Naphtenes",8
   58,"1c,2-dimethylcyclohexane",58.359,834.604,0.285,36533.53,0.309,"Naphtenes",8
   59,"? 4",58.729,837.201,0.020,2536.72,0.021,"n-Paraffins",0
   60,"? 5",59.039,839.364,0.357,40788.85,0.350,"n-Paraffins",0
   61,"2,3,5-trimethylhexane",59.169,840.268,2.871,328412.76,2.820,"i-Paraffins",9
   62,"2,2-dimethylheptane",59.642,843.542,0.054,6133.54,0.053,"i-Paraffins",9
   63,"2,4-dimethylheptane",60.019,846.130,1.190,134901.64,1.159,"i-Paraffins",9
   64,"4,4-dimethylheptane",60.196,847.337,0.693,78546.10,0.675,"i-Paraffins",9
   65,"2,6-dimethylheptane",60.396,848.700,0.334,37879.51,0.325,"i-Paraffins",9
   66,"3,5-dimethylheptane",60.722,850.917,0.113,12978.14,0.111,"i-Paraffins",9
   67,"3,3-dimethylheptane",60.912,852.201,0.158,18174.10,0.156,"i-Paraffins",9
   68,"1,1,3-trimethylcyclohexane",61.132,853.682,0.121,15276.87,0.129,"Naphtenes",9
   69,"2,4-dimethylheptene-1",61.752,857.829,0.109,11979.35,0.101,"Olefins",9
   70,"ethylbenzene",61.932,859.025,1.137,167776.51,1.341,"Aromatics",8
   71,"N11",62.269,861.253,0.449,56434.80,0.477,"Naphtenes",9
   72,"1c,2t,4t-trimethylcyclohexane",62.636,863.665,0.088,11094.22,0.094,"Naphtenes",9
   73,"I3",62.789,864.670,0.030,3415.14,0.029,"i-Paraffins",9
   74,"1,3-dimethylbenzene/m-Xylene",63.146,866.998,2.793,410948.06,3.285,"Aromatics",8
   75,"1,4-dimethylbenzene/p-Xylene",63.282,867.886,0.712,104363.15,0.834,"Aromatics",8
   76,"2,3-dimethylheptane",63.439,868.902,0.068,7855.05,0.067,"i-Paraffins",9
   77,"3,4-dimethylheptane1",63.546,869.593,0.089,10258.02,0.088,"i-Paraffins",9
   78,"I4",63.789,871.163,0.130,15025.75,0.129,"i-Paraffins",9
   79,"N14",63.989,872.450,0.218,27320.03,0.231,"Naphtenes",9
   80,"3,4-dimethylheptane2",64.172,873.625,0.916,106107.79,0.911,"i-Paraffins",9
   81,"4-ethylheptane",64.302,874.457,1.087,124031.33,1.065,"i-Paraffins",9
   82,"3-ethylheptane",65.002,878.906,0.239,27468.96,0.236,"i-Paraffins",9
   83,"3-methyloctane",65.156,879.874,1.378,157324.67,1.351,"i-Paraffins",9
   84,"1c,2t,4c-trimethylcyclohexane",65.336,881.008,0.115,14328.08,0.121,"Naphtenes",9
   85,"? 6",65.519,882.159,0.045,5850.73,0.049,"n-Paraffins",0
   86,"1,1,2-trimethylcyclohexane",65.619,882.786,0.056,7185.43,0.061,"Naphtenes",9
   87,"I5",65.899,884.536,0.062,7191.62,0.062,"i-Paraffins",9
   88,"1,2-dimethylbenzene/o-Xylene",66.086,885.698,1.062,159083.98,1.272,"Aromatics",8
   89,"? 7",66.456,887.993,0.013,1519.83,0.013,"n-Paraffins",0
   90,"I6",66.686,889.412,0.353,40822.95,0.351,"i-Paraffins",9
   91,"I7",66.869,890.541,0.526,60858.12,0.523,"i-Paraffins",9
   92,"N18",67.152,892.278,0.201,25290.35,0.214,"Naphtenes",9
   93,"N19",67.309,893.236,0.060,7565.66,0.064,"Naphtenes",9
   94,"N20",67.429,893.968,0.054,6826.94,0.058,"Naphtenes",9
   95,"nonene-1",67.582,894.901,0.093,11548.15,0.098,"Olefins",9
   96,"n-nonane",68.426,899.997,3.779,429636.81,3.690,"n-Paraffins",9
   97,"1,1-methylethylcyclohexane",68.656,902.587,0.081,10518.51,0.089,"Naphtenes",9
   98,"3,7-dimethyloctene-1",68.859,904.872,0.013,1426.70,0.012,"Olefins",10
   99,"N25",69.072,907.261,0.203,25860.44,0.219,"Naphtenes",9
  100,"? 8",69.396,910.869,0.072,8105.88,0.068,"n-Paraffins",0
  101,"i-propylbenzene",69.862,916.047,0.139,20232.54,0.163,"Aromatics",9
  102,"? 9",70.032,917.924,0.018,2308.54,0.020,"n-Paraffins",0
  103,"N27",70.295,920.824,0.200,25383.28,0.214,"Naphtenes",9
  104,"I10",70.452,922.544,0.142,16434.45,0.141,"i-Paraffins",9
  105,"i-propylcyclohexane",70.649,924.697,0.030,3867.28,0.033,"Naphtenes",9
  106,"I11",70.759,925.899,0.016,1852.12,0.016,"i-Paraffins",10
  107,"I12",70.965,928.152,0.026,2984.04,0.026,"i-Paraffins",10
  108,"2,2-dimethyloctane",71.069,929.276,0.008,934.71,0.008,"i-Paraffins",10
  109,"2,4-dimethyloctane",71.179,930.471,0.031,3607.62,0.031,"i-Paraffins",10
  110,"N29",71.482,933.756,0.167,21306.22,0.180,"Naphtenes",9
  111,"2,6-dimethyloctane",71.805,937.243,0.088,10188.48,0.087,"i-Paraffins",10
  112,"n-butylcyclopentane",72.052,939.892,0.167,21050.46,0.178,"Naphtenes",9
  113,"I13",72.229,941.784,0.024,2837.80,0.024,"i-Paraffins",10
  114,"I14",72.555,945.270,0.034,3884.95,0.033,"i-Paraffins",10
  115,"n-propylbenzene",72.809,947.963,0.184,26867.78,0.216,"Aromatics",9
  116,"3,6-dimethyloctane",73.055,950.575,0.033,3842.89,0.033,"i-Paraffins",10
  117,"3-methyl-5-ethylheptane",73.349,953.671,0.006,725.11,0.006,"i-Paraffins",10
  118,"1,3-methylethylbenzene",73.515,955.424,0.162,23644.45,0.190,"Aromatics",9
  119,"1,4-methylethylbenzene",73.709,957.453,0.063,9188.62,0.074,"Aromatics",9
  120,"1,3,5-trimethylbenzene",74.202,962.607,0.092,13457.30,0.108,"Aromatics",9
  121,"2,3-dimethyloctane",74.379,964.444,0.019,2187.26,0.019,"i-Paraffins",10
  122,"I15",74.532,966.035,0.053,6208.00,0.053,"i-Paraffins",10
  123,"I16",74.749,968.277,0.038,4471.88,0.038,"i-Paraffins",10
